ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9553484,HX205468,03/31/2014 11:30:00 AM,090XX S THROOP ST,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,TRUE,2222,22,21,73,08A,1169246,1844843,2014,02/04/2016 06:33:39 AM,41.72975695,-87.65559428,"(41.729756954, -87.65559428)"
9553594,HX205592,03/31/2014 01:35:00 PM,028XX N MILWAUKEE AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,TRUE,FALSE,1412,14,35,21,04A,1153217,1918448,2014,02/04/2016 06:33:39 AM,41.93206986,-87.7123645,"(41.932069855, -87.712364501)"
9553632,HX205472,03/31/2014 12:10:00 PM,077XX N EASTLAKE TER,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,LAKEFRONT/WATERFRONT/RIVERBANK,FALSE,FALSE,2422,24,49,1,04A,1165730,1951245,2014,02/04/2016 06:33:39 AM,42.021808,-87.66544131,"(42.021808004, -87.665441309)"
9553645,HX205625,03/31/2014 01:20:00 PM,074XX S PRINCETON AVE,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,TRUE,FALSE,731,7,17,69,04A,1175582,1855557,2014,02/04/2016 06:33:39 AM,41.75901826,-87.63206392,"(41.759018264, -87.632063922)"
9553714,HX205716,03/29/2014 06:30:00 PM,045XX N MAGNOLIA AVE,560,ASSAULT,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,1913,19,46,3,08A,1167100,1930351,2014,02/04/2016 06:33:39 AM,41.96444496,-87.66100337,"(41.964444958, -87.661003374)"
9553721,HX202302,03/28/2014 05:30:00 PM,048XX W SHAKESPEARE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,2522,25,31,19,04A,1143679,1913856,2014,02/04/2016 06:33:39 AM,41.91965316,-87.74753097,"(41.919653163, -87.747530967)"
9553746,HX205693,03/31/2014 02:20:00 PM,034XX N AUSTIN AVE,554,ASSAULT,AGG PO HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1633,16,38,17,08A,1135778,1922071,2014,02/04/2016 06:33:39 AM,41.94234047,-87.77636479,"(41.942340471, -87.776364792)"
9553751,HX205780,03/31/2014 04:07:00 PM,112XX S PARNELL AVE,560,ASSAULT,SIMPLE,SIDEWALK,TRUE,FALSE,2233,22,34,49,08A,1174639,1830455,2014,02/04/2016 06:33:39 AM,41.69015599,-87.63626491,"(41.690155989, -87.636264911)"
9553810,HX205758,03/31/2014 03:30:00 PM,015XX S WABASH AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,131,1,2,33,08A,1177014,1892855,2014,02/04/2016 06:33:39 AM,41.86133518,-87.62569018,"(41.861335178, -87.625690175)"
9553875,HX205847,03/29/2014 11:30:00 AM,026XX E 92ND ST,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,423,4,7,48,08A,1195200,1844470,2014,02/04/2016 06:33:39 AM,41.72813329,-87.56053102,"(41.728133294, -87.560531017)"
9553879,HX205960,03/31/2014 05:50:00 PM,067XX S CARPENTER ST,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,FALSE,TRUE,724,7,17,68,04A,1170476,1860079,2014,02/04/2016 06:33:39 AM,41.7715399,-87.65064558,"(41.771539896, -87.650645583)"
9553885,HX205953,03/31/2014 05:40:00 PM,073XX S MAY ST,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,733,7,17,68,08A,1169921,1856227,2014,02/04/2016 06:33:39 AM,41.76098159,-87.65279174,"(41.760981593, -87.652791743)"
9553944,HX205860,03/31/2014 12:29:00 PM,010XX S MONITOR AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,1513,15,29,25,08A,1137535,1895183,2014,02/04/2016 06:33:39 AM,41.86852504,-87.77055528,"(41.86852504, -87.770555283)"
9553989,HX205995,03/31/2014 05:57:00 PM,028XX W WARREN BLVD,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,1222,12,2,27,08A,1157479,1900227,2014,02/04/2016 06:33:39 AM,41.88198414,-87.69719877,"(41.881984139, -87.697198767)"
9553996,HX205923,03/31/2014 10:00:00 AM,078XX S RACINE AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,612,6,17,71,08A,1169677,1852985,2014,02/04/2016 06:33:39 AM,41.75209041,-87.65377988,"(41.752090412, -87.653779875)"
9554000,HX206053,03/31/2014 07:05:00 PM,016XX W HOWARD ST,560,ASSAULT,SIMPLE,SIDEWALK,TRUE,FALSE,2422,24,49,1,08A,1163750,1950346,2014,02/04/2016 06:33:39 AM,42.0193833,-87.67275327,"(42.019383301, -87.67275327)"
9554024,HX206096,03/31/2014 05:45:00 PM,050XX S DREXEL BLVD,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,TRUE,TRUE,222,2,4,39,04A,1183165,1871831,2014,02/04/2016 06:33:39 AM,41.8035026,-87.60376682,"(41.803502602, -87.603766824)"
9554028,HX205674,03/31/2014 01:48:00 PM,024XX W 60TH ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,824,8,16,66,08A,1160969,1864806,2014,02/04/2016 06:33:39 AM,41.78471324,-87.68536462,"(41.78471324, -87.685364618)"
9554033,HX206192,03/31/2014 05:30:00 PM,117XX S NORMAL AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,TRUE,FALSE,522,5,34,53,04A,1175076,1827081,2014,02/04/2016 06:33:39 AM,41.6808875,-87.63476521,"(41.680887496, -87.634765206)"
9554065,HX206118,03/31/2014 07:34:00 PM,087XX S LAFAYETTE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,TRUE,FALSE,634,6,21,44,04A,1177462,1847094,2014,02/04/2016 06:33:39 AM,41.73575252,-87.62542903,"(41.735752519, -87.625429032)"
9554071,HX206020,03/31/2014 06:18:00 PM,117XX S MICHIGAN AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,GAS STATION,FALSE,FALSE,532,5,9,53,04A,1178939,1827284,2014,02/04/2016 06:33:39 AM,41.68135774,-87.62061859,"(41.681357737, -87.620618587)"
9554097,HX204747,03/30/2014 07:45:00 PM,029XX W MADISON ST,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,FALSE,FALSE,1222,12,2,27,04A,1156896,1899881,2014,02/04/2016 06:33:39 AM,41.88104652,-87.69934893,"(41.88104652, -87.699348928)"
9554116,HX206021,03/31/2014 06:20:00 PM,079XX S KENWOOD AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,411,4,8,45,08A,1186586,1852716,2014,02/04/2016 06:33:39 AM,41.75096906,-87.59182501,"(41.750969055, -87.591825006)"
9554152,HX206291,03/31/2014 11:02:00 PM,001XX N LOTUS AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,1523,15,28,25,08A,1139929,1900507,2014,02/04/2016 06:33:39 AM,41.88309139,-87.76163606,"(41.883091389, -87.761636064)"
9554706,HX206611,04/01/2014 09:30:00 AM,033XX S WESTERN AVE,560,ASSAULT,SIMPLE,APARTMENT,TRUE,TRUE,911,9,12,59,08A,1160882,1882645,2014,02/04/2016 06:33:39 AM,41.83366747,-87.68519033,"(41.833667467, -87.685190333)"
9554169,HX206310,03/31/2014 11:20:00 PM,095XX S STONY ISLAND AVE,560,ASSAULT,SIMPLE,GAS STATION,TRUE,FALSE,431,4,7,51,08A,1188521,1842119,2014,02/04/2016 06:33:39 AM,41.72184385,-87.58507194,"(41.721843846, -87.585071938)"
9554170,HX206347,03/31/2014 05:30:00 PM,049XX W ARGYLE ST,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,1623,16,45,12,08A,1142599,1932794,2014,02/04/2016 06:33:39 AM,41.97164096,-87.75102639,"(41.971640962, -87.751026388)"
9554181,HX206332,03/18/2014 06:00:00 PM,010XX W 78TH ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,612,6,17,71,08A,1170535,1853092,2014,02/04/2016 06:33:39 AM,41.75236539,-87.65063258,"(41.752365394, -87.650632577)"
9554184,HX206309,03/31/2014 11:20:00 PM,114XX S ABERDEEN ST,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,FALSE,FALSE,2234,22,34,75,04A,1171039,1829003,2014,02/04/2016 06:33:39 AM,41.68625065,-87.64948682,"(41.686250652, -87.649486823)"
9554192,HX206266,03/01/2014 10:00:00 PM,117XX S CALUMET AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,532,5,9,53,08A,1180560,1827221,2014,02/04/2016 06:33:39 AM,41.68114791,-87.61468682,"(41.681147905, -87.614686824)"
9554215,HX206335,03/31/2014 11:00:00 PM,057XX S THROOP ST,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,713,7,16,67,04A,1168636,1866805,2014,02/04/2016 06:33:39 AM,41.79003674,-87.65719654,"(41.790036743, -87.657196537)"
9554224,HX205816,03/31/2014 03:55:00 PM,075XX S STONY ISLAND AVE,555,ASSAULT,AGG PRO.EMP: HANDGUN,GROCERY FOOD STORE,FALSE,FALSE,411,4,5,43,04A,1188123,1855151,2014,02/04/2016 06:33:39 AM,41.75761443,-87.58611527,"(41.757614433, -87.586115266)"
9554249,HX206400,04/01/2014 03:00:00 AM,015XX W FARGO AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,ALLEY,FALSE,FALSE,2422,24,49,1,04A,1164728,1949523,2014,02/04/2016 06:33:39 AM,42.01710421,-87.66917785,"(42.017104208, -87.669177854)"
9554279,HX206447,04/01/2014 07:40:00 AM,014XX N CLAREMONT AVE,560,ASSAULT,SIMPLE,HOSPITAL BUILDING/GROUNDS,TRUE,FALSE,1424,14,1,24,08A,1160479,1909519,2014,02/04/2016 06:33:39 AM,41.90742061,-87.68592533,"(41.907420613, -87.685925328)"
9554396,HX206524,04/01/2014 09:05:00 AM,073XX S ROCKWELL ST,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,TRUE,835,8,18,66,04A,1160311,1855944,2014,02/04/2016 06:33:39 AM,41.76040823,-87.68802093,"(41.760408228, -87.688020931)"
9554444,HX206565,02/18/2014 01:00:00 PM,051XX S CARPENTER ST,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,934,9,16,61,08A,1170185,1870746,2014,02/04/2016 06:33:39 AM,41.80081772,-87.65140216,"(41.800817717, -87.651402164)"
9554623,HX206462,04/01/2014 07:50:00 AM,069XX S WOLCOTT AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,ALLEY,FALSE,TRUE,735,7,17,67,04A,1164887,1858588,2014,02/04/2016 06:33:39 AM,41.76756831,-87.67117509,"(41.767568306, -87.671175092)"
9554628,HX206620,04/01/2014 09:00:00 AM,060XX S LANGLEY AVE,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,313,3,20,42,08A,1181924,1865146,2014,02/04/2016 06:33:39 AM,41.7851872,-87.60852484,"(41.785187197, -87.608524835)"
9554676,HX206636,03/31/2014 01:30:00 PM,032XX S RACINE AVE,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,913,9,11,60,08A,1168842,1883427,2014,02/04/2016 06:33:39 AM,41.83564483,-87.65596078,"(41.835644825, -87.655960779)"
